Date,State,Region,Confirmed,Deaths,Recovered
4/29/2020,India,Maharshtra,1939,60,252
4/29/2020,India,chennai,766,1939,455
4/29/2020,India,Delhi,3848,1939,1702
4/29/2020,India,Panvel,743,42,423
4/29/2020,,Raigad,27,2,7
4/29/2020,,Khargar,24,3,11
4/29/2020,,Kamothe,4285,214,1192
4/29/2020,,Thane,1932,30,900
4/29/2020,,Austria,15402,580,12779
4/29/2020,,Azerbaijan,1766,23,1267
4/29/2020,,Bahamas,80,11,23
4/29/2020,,Bahrain,2921,8,1455
4/29/2020,,Bangladesh,7103,163,150
4/29/2020,,Barbados,80,7,39
4/29/2020,,Belarus,13181,84,2072
4/29/2020,,Belgium,47859,7501,11283
4/29/2020,,Belize,18,2,9
4/29/2020,,Benin,64,1,33
